,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,Close,QCOMClose,INTCClose,AMDClose,NASDAQClose,DJIClose,SPYClose
0,2016-01-04,-1.59,-0.73,0.53,0.35,0.42,0.0,-0.336954191985771,142.27999877929688,50.119998931884766,33.9900016784668,2.7699999809265137,4903.08984375,17148.939453125,201.02000427246094
1,2016-01-05,0.12,-0.25,0.01,0.03,0.35,0.0,-0.322184625246708,137.52000427246094,49.13999938964844,33.83000183105469,2.75,4891.43017578125,17158.66015625,201.36000061035156
2,2016-01-06,-1.35,-0.21,-0.01,0.15,0.04,0.0,-0.308062368324326,133.2899932861328,48.63999938964844,33.08000183105469,2.509999990463257,4835.759765625,16906.509765625,198.82000732421875
3,2016-01-07,-2.44,-0.27,0.08,0.48,0.43,0.0,-0.294585731218786,129.0500030517578,46.13999938964844,31.84000015258789,2.2799999713897705,4689.43017578125,16514.099609375,194.0500030517578
4,2016-01-08,-1.11,-0.52,-0.03,0.21,0.04,0.0,-0.28175310119109,128.1999969482422,45.880001068115234,31.510000228881836,2.140000104904175,4643.6298828125,16346.4501953125,191.9199981689453
5,2016-01-11,-0.06,-0.62,0.34,0.65,0.43,0.0,-0.247350184939481,128.0399932861328,46.06999969482422,32.060001373291016,2.3399999141693115,4637.990234375,16398.5703125,192.11000061035156
6,2016-01-12,0.71,-0.45,-0.78,-0.03,-0.31,0.0,-0.237465173547548,129.9199981689453,46.52000045776367,32.68000030517578,2.390000104904175,4685.919921875,16516.220703125,193.66000366210938
7,2016-01-13,-2.67,-0.56,0.78,0.37,0.68,0.0,-0.228357579461,123.30999755859375,46.099998474121094,31.90999984741211,2.25,4526.06005859375,16151.41015625,188.8300018310547
8,2016-01-14,1.65,-0.08,-0.4,-0.62,-0.47,0.0,-0.220026312780922,125.19000244140625,47.72999954223633,32.7400016784668,2.2100000381469727,4615.0,16379.0498046875,191.92999267578125
9,2016-01-15,-2.14,0.41,-0.21,0.32,0.33,0.0,-0.212470376510912,119.97000122070312,45.81999969482422,29.760000228881836,2.0299999713897705,4488.419921875,15988.080078125,187.80999755859375
10,2016-01-19,-0.2,-1.38,-0.07,0.3,0.26,0.0,-0.191040417070522,120.06999969482422,46.09000015258789,29.799999237060547,1.9500000476837158,4476.9501953125,16016.01953125,188.05999755859375
11,2016-01-20,-0.94,1.68,-1.24,0.18,-0.55,0.0,-0.189146914043222,123.83000183105469,45.93000030517578,29.59000015258789,1.7999999523162842,4471.68994140625,15766.740234375,185.64999389648438
12,2016-01-21,0.45,-0.46,0.01,0.47,0.6,0.0,-0.188870893659867,124.52999877929688,47.04999923706055,29.65999984741211,2.0899999141693115,4472.06005859375,15882.6796875,186.69000244140625
13,2016-01-22,2.08,0.13,-0.19,-0.46,-0.76,0.0,-0.190212322889303,124.51000213623047,48.06999969482422,29.93000030517578,2.0199999809265137,4591.18017578125,16093.509765625,190.52000427246094
14,2016-01-25,-1.71,-0.51,-0.99,0.3,-0.01,0.0,-0.203203691946309,124.48999786376953,47.58000183105469,29.600000381469727,2.119999885559082,4518.490234375,15885.2197265625,187.63999938964844
15,2016-01-26,1.52,0.58,1.22,0.58,0.72,0.0,-0.209257582630559,124.38999938964844,48.52000045776367,29.940000534057617,2.069999933242798,4567.669921875,16167.23046875,190.1999969482422
16,2016-01-27,-1.11,-0.37,1.71,-0.24,1.06,0.0,-0.215910762393321,122.3499984741211,47.529998779296875,29.809999465942383,2.130000114440918,4468.169921875,15944.4599609375,188.1300048828125
17,2016-01-28,0.49,-0.58,1.26,-0.25,-0.5,0.0,-0.223164027415599,126.37000274658203,43.59000015258789,29.969999313354492,2.0799999237060547,4506.68017578125,16069.6396484375,189.11000061035156
18,2016-01-29,2.57,0.58,0.37,0.0,0.45,0.0,-0.231018245690149,133.7100067138672,45.34000015258789,31.020000457763672,2.200000047683716,4613.9501953125,16466.30078125,193.72000122070312
19,2016-02-01,-0.04,-0.32,-0.95,0.08,-0.41,0.001,-0.258476790047189,137.67999267578125,46.11000061035156,30.81999969482422,2.140000104904175,4620.3701171875,16449.1796875,193.64999389648438
20,2016-02-02,-2.0,-0.13,-0.35,0.29,0.4,0.001,-0.269056103966711,133.24000549316406,43.150001525878906,29.799999237060547,1.9900000095367432,4516.9501953125,16153.5400390625,190.16000366210938
21,2016-02-03,0.46,-0.21,0.45,0.42,0.37,0.001,-0.279983819219002,131.36000061035156,44.72999954223633,29.34000015258789,2.069999933242798,4504.240234375,16336.66015625,191.3000030517578
