,pca1,pca2,pca3,pca4,pca5,date
0,-0.9265058376437018,-0.06776680089888651,-0.014866251829739018,-0.14270373920358848,0.10658183665148571,2016-01-04
1,-0.9313689145664149,-0.06136790525237928,-0.03108685805764261,-0.05296713693804713,0.05183092770518638,2016-01-05
2,-0.9595520359139975,-0.05360978767242342,-0.042556599854338586,-0.009737679598513072,0.06648467559599994,2016-01-06
3,-1.0195951291967598,-0.025157997906873078,-0.06458974715491757,-0.13974491637572706,0.11277886965735091,2016-01-07
4,-1.036819485060795,-0.02353278598256558,-0.0769650112142528,-0.021304012640698766,0.06348951437480677,2016-01-08
5,-1.0298023365340006,-0.02533472377041792,-0.06375932772845498,-0.1677950632743197,0.14660600695150838,2016-01-11
6,-1.007184360044776,-0.03690757446482518,-0.08503078702486372,0.13389740213632476,0.03563449012544421,2016-01-12
7,-1.0560132860502403,-0.02123164489749531,-0.0611586772020068,-0.22973549143170868,0.07666251984781397,2016-01-13
8,-1.014898158966807,-0.0462545804211993,-0.07356737879206234,0.20715222187198243,-0.08492368842709266,2016-01-14
9,-1.0866735297923669,-0.014450225105394348,-0.07292391730210084,-0.09390829191191866,0.04489971509106493,2016-01-15
10,-1.0839079612890494,-0.016695910404847514,-0.06894844431942199,-0.0814211958834347,0.051177922126600585,2016-01-19
11,-1.0995772449518644,-0.019199191683231573,-0.09822710024240319,0.17001422044221268,0.018899064758394986,2016-01-20
12,-1.088829047763781,-0.024770592452443528,-0.053376285117759464,-0.17539598425463823,0.06328057200034504,2016-01-21
13,-1.053752259593166,-0.04074084773886159,-0.06263496917291955,0.22827299721302977,-0.08546743597192315,2016-01-22
14,-1.0783402783548937,-0.032888771992296034,-0.06970777832308746,0.023070070886036437,0.03450636521683558,2016-01-25
15,-1.0576480123412848,-0.03535549889720907,-0.014642947409579016,-0.27993483155630167,0.08465642922450331,2016-01-26
16,-1.082159397834302,-0.025113143119013998,-0.024325754213440052,-0.30381997661798804,-0.07568972775028485,2016-01-27
